GZ1,Acquired data,1,5
RI,LALS,RALS,DP,IP
-0.341422845299045,189.048599243164062,192.135899861653655,9.960462888081869,42.273450215657554
-0.340268733600775,189.048563639322907,192.136057535807282,9.960269927978516,42.274201711018883
-0.339781259497007,189.048629760742188,192.136062622070312,9.962619781494141,42.275067647298179
-0.339560318117340,189.048762003580720,192.135996500651032,9.965023040771484,42.276039123535156
-0.337705890958508,189.048929850260407,192.135864257812500,9.966866493225098,42.276878356933594
-0.337852134058873,189.049026489257812,192.135691324869782,9.965056419372559,42.277436574300133
-0.339597192282478,189.049092610677093,192.135528564453125,9.962322870890299,42.277577718098961
-0.340343127027154,189.050160725911468,192.135431925455720,9.963793118794760,42.277704874674477
-0.341489297648271,189.051991780598968,192.135396321614593,9.965730031331381,42.278168996175133
-0.341668422023455,189.053960164388030,192.135228474934905,9.964529991149902,42.278541564941406
-0.342047500734528,189.056030273437500,192.135126749674470,9.961836496988932,42.278551737467446
-0.343692760293682,189.058959960937500,192.135360717773438,9.961409568786621,42.278362274169922
-0.344405148178339,189.062795003255218,192.137064615885407,9.967696189880371,42.278775533040367
-0.344551549603542,189.065826416015625,192.138895670572907,9.971746444702148,42.279698689778648
-0.341463386391600,189.068796793619782,192.140762329101562,9.973139444986979,42.280448913574219
-0.340075783431530,189.071929931640625,192.142893473307282,9.976579666137695,42.280728658040367
-0.340421979626020,189.074996948242188,192.144927978515625,9.979662895202637,42.280796051025391
-0.341767299299439,189.076192220052093,192.145660400390625,9.978939692179361,42.280928293863930
-0.341079533721010,189.076995849609375,192.145960489908845,9.978896458943685,42.281248728434242
-0.338958575079838,189.077631632486970,192.146230061848968,9.977063179016113,42.281589508056641
-0.337471471478542,189.078063964843750,192.146428426106780,9.976723035176596,42.281937917073570
-0.336383818959196,189.078328450520843,192.146565755208343,9.975059509277344,42.282474517822266
-0.334396513799826,189.078526814778655,192.146662394205720,9.972303072611490,42.283055623372398
-0.332375034689903,189.078430175781250,192.146687825520843,9.972679773966471,42.283397674560547
-0.331154344292978,189.078135172526032,192.146662394205720,9.974596023559570,42.283376057942711
-0.329633226773391,189.077733357747405,192.146662394205720,9.976249694824219,42.283121744791664
